Wavenumber,Intensity,Class
926.1094,15.35026,0
926.5916,15.29919,0
927.0737,15.27295,0
927.5558,15.29458,0
928.0379,15.38937,0
928.52,15.46695,0
929.0021,15.4029,0
929.4843,15.2651,0
929.9664,15.17297,0
930.4485,15.13548,0
930.9306,15.14143,0
931.4127,15.20854,0
931.8948,15.29214,0
932.377,15.40088,0
932.8591,15.50868,0
933.3412,15.55108,0
933.8233,15.52267,0
934.3054,15.4636,0
934.7875,15.35524,0
935.2697,15.27425,0
935.7518,15.40765,0
936.2339,15.63043,0
936.716,15.70336,0
937.1981,15.52443,0
937.6802,15.38531,0
938.1624,15.41374,0
938.6445,15.4935,0
939.1266,15.54974,0
939.6087,15.5381,0
940.0908,15.55,0
940.5729,15.59725,0
941.0551,15.68084,0
941.5372,15.78459,0
942.0193,15.86103,0
942.5014,15.8473,0
942.9835,15.76806,0
943.4656,15.68815,0
943.9478,15.63722,0
944.4299,15.62157,0
944.912,15.67155,0
945.3941,15.69275,0
945.8762,15.58984,0
946.3583,15.40608,0
946.8405,15.38246,0
947.3226,15.50421,0
947.8047,15.58655,0
948.2868,15.53288,0
948.7689,15.4464,0
949.251,15.37318,0
949.7332,15.25055,0
950.2153,15.22777,0
950.6974,15.39229,0
951.1795,15.5983,0
951.6616,15.75829,0
952.1437,15.81759,0
952.6259,15.81081,0
953.108,15.7689,0
953.5901,15.74614,0
954.0722,15.703,0
954.5543,15.6268,0
955.0364,15.4897,0
955.5186,15.36225,0
956.0007,15.28229,0
956.4828,15.24294,0
956.9649,15.29244,0
957.447,15.46981,0
957.9291,15.5622,0
958.4113,15.48704,0
958.8934,15.35811,0
959.3755,15.29075,0
959.8576,15.27777,0
960.3397,15.34182,0
960.8218,15.51893,0
961.304,15.69055,0
961.7861,15.81441,0
962.2682,15.91476,0
962.7503,15.87951,0
963.2324,15.64053,0
963.7145,15.40555,0
